brakingPressure, currentGear, distanceCounter, electronicStabilityProgram, engineSpeed, fuelConsumption, gearSelection, lapDistance, laptime, lateralAcceleration, longitudinalAcceleration, longitudinalSlipRR, longitudinalSlipRL, longitudinalSlipFR, longitudinalSlipFL, pedalForce, sectorDistance, sectorTime, speed, steeringWheelAngle, timestamp, tirePressureFR, tirePressureFL, tirePressureRR, tirePressureRL, tripDistance, wpoCharismaDamper, wpoCharismaMotor, wpoCharismaTransmission, wpoOversteer, wpoUndersteer, latitude, longitude, yawVelocity
0.0, 5, 2674.433, deactivated, 7896, 0.0, -, 0.0, 61, -0.11416921, 0.14678898, 0.0, 0.0, 0.0, 0.0, 1.0, , 61, 226.88536, -0.3, 1664378599528, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07883267, -1.015095453, 0.0
0.0, 5, 2681.8462, deactivated, 7920, 0.0, -, 7.413086, 175, -0.09785932, 0.16309887, 0.0, 0.0, 0.0, 0.0, 1.0, , 175, 226.82642, -0.2, 1664378599642, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07884789, -1.014990196, 0.0
0.0, 5, 2686.875, deactivated, 7929, 0.0, -, 12.441895, 263, -0.04892966, 0.14678898, 0.0, 0.0, 0.0, 0.0, 1.0, , 263, 224.68652, 1.0, 1664378599730, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.078851, -1.01491703, 0.0
0.0, 5, 2693.1646, deactivated, 7959, 0.0, -, 18.731445, 359, -0.1304791, 0.16309887, 0.0, 0.0, 0.0, 0.0, 1.0, , 359, 226.90161, 1.1, 1664378599826, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07885481, -1.014825508, 0.0
0.0, 5, 2699.478, deactivated, 7977, 0.0, -, 25.044922, 461, -0.032619774, 0.14678898, 0.0, 0.0, 0.0, 0.0, 1.0, , 461, 228.96628, 1.6, 1664378599928, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07885855, -1.014733631, 0.0
0.0, 5, 2705.816, deactivated, 7995, 0.0, -, 31.382812, 565, -0.032619774, 0.14678898, 0.0, 0.0, 0.0, 0.0, 1.0, , 565, 226.90161, 2.2, 1664378600032, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07886225, -1.01464139, 0.0
0.0, 5, 2712.154, deactivated, 7980, 0.0, -, 37.720947, 665, 0.032619774, 0.06523955, 0.0, 0.0, 0.0, 0.0, 0.42400002, , 665, 228.96631, 3.6, 1664378600132, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07886591, -1.014549145, 0.0
0.0, 5, 2718.5193, deactivated, 7668, 0.0, -, 44.08618, 770, 0.016309887, -0.11416921, 0.0, 0.0, 0.0, 0.0, 0.42400002, , 770, 229.64946, 4.3, 1664378600237, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07886958, -1.014456504, 0.0
0.0, 5, 2724.8818, deactivated, 7905, 0.0, -, 50.44873, 862, -0.016309887, -0.21202852, 0.0, 0.0, 0.0, 0.0, 0.0, , 862, 230.71214, 4.2, 1664378600329, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.07887325, -1.014363899, 0.0
14.7, 5, 2731.2527, deactivated, 7890, 0.0, -, 56.81958, 967, -0.016309887, -0.3751274, 0.0, 0.0, 0.0, 0.0, 0.0, , 967, 226.62325, 4.1, 1664378600434, 1.5, 1.5, 1.6, 1.6, 0, profile_8, efficiency, position_M_brief, 0.0, 0.0, 52.0788769, -1.014271174, 0.0
